,produc_name,alcholicity,capacity,price,keywords
168,세계로 수출하는 명품안동소주 선물용 각시탈 200ml 45도,45%,200ml,24000,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
169,세계로 수출하는 명품안동소주 선물용 양반탈 200ml 45도,45%,200ml,24000,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
170,세계로 수출하는 명품안동소주 선물용 부네탈 200ml 45도,45%,200ml,24000,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
171,명품안동소주 프리미엄30,30%,375ml,12300,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
172,명품안동소주 프리미엄 19.8도 375ml,19.8%,375ml,8500,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
173,세계로 수출하는 명품안동소주 선물용 각시탈 200ml 30도,30%,200ml,17000,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
174,세계로 수출하는 명품안동소주 선물용 양반탈 200ml 30도,30%,200ml,17000,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
175,세계로 수출하는 명품안동소주 선물용 부네탈 200ml 30도,30%,200ml,17000,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
176,영월더덕영농조합 영월 동강 더덕주 20도 360ml,20%,360ml,4900,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
177,그랑꼬또 캠벨화이트 750ml,화이트,보통,27000,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,"
178,그린영농조합 그랑꼬또 로제와인 12도 750ml,로제,보통,24500,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,"
179,중원양조 사랑할때 사과주 12도 300ml,12%,300ml,3900,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
180,[ 서설 ]375ml / 13도 / 청주,13%,375ml,15000,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,포도주,전통주선물,은사님선물,집들이선물,친구생일선물,"
181,조흔 레드와인 750ml 1병,레드,보통,19000,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,포도주,전통주선물,은사님선물,집들이선물,친구생일선물,"
182,조흔 로제와인 375ml,로제,부드러움,15000,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,포도주,전통주선물,은사님선물,집들이선물,친구생일선물,"
183,산삼 품은 몽주 375ml,25%,375ml,35000,"냠냠맛있는,홈캉스,와인선물,외국인친구선물,외국인손님선물,포도주,전통주선물,은사님선물,집들이선물,친구생일선물,"
184,중원양조 사랑할때 사과주 20도 300ml,20%,300ml,5200,"냠냠맛있는,홈캉스,외국인친구선물,외국인손님선물,전통주선물,은사님선물,집들이선물,친구생일선물,직장상사선물,새콤달콤한,"
