index,제품명,keywords
193,배도가로아40옐로우,증류주 쌀 과일류 선물 선물
194,백년향,담백 탁주 쌀 무감미료 디저트 친구 추천 안주 저도수 디저트 친구 추천 안주
195,백련맑은술,담백 약주/청주 선물  저도수 
196,백련생막걸리Misty,담백 탁주 선물 디저트 부모님 선물 파티 추천 가족 혼술 행사 저도수 디저트 부모님 선물 파티 추천 가족 혼술 행사
197,백련생막걸리Snow,탁주  저도수 
198,백운복분자와인,기타주류 쌀 복분자 베리류  저도수 
199,백운복분자주,기타주류 쌀 복분자 베리류  저도수 
200,백이주,과실주 쌀 밀 감초 명절  
201,백자주,탁주 쌀 찹쌀  저도수 
202,뱅꼬레레드와인,과실주 포도  저도수 
203,뱅꼬레로제와인,과실주 포도 선물  저도수 
204,뱅꼬레아이스와인,과실주 포도  저도수 
205,뱅꼬레화이트와인,과실주 포도  저도수 
206,베베마루캠벨로제,과실주 포도  저도수 
207,베베마루캠벨로제스위트,과실주 포도  저도수 
208,별바랑,담백 약주/청주 쌀 찹쌀 파티 추천 추천
209,병영설성동동주,탁주 쌀 무감미료  저도수 
210,병영설성생막걸리,탁주 쌀 무감미료  저도수 
211,병영설성사또,향기 목넘김 증류주 쌀 베리류 선물 반주 선물 반주
212,병영소주,증류주 보리 부모님 부모님
213,복분자아락,향기 증류주 복분자  
214,복분자음,과실주 복분자 홈술  저도수 
215,복순도가손막걸리,탄산 탁주 파티 커플 친구 명절 반주 부모님 안주 선물 기념일 파티 추천 저도수 커플 친구 명절 반주 부모님 안주 선물 기념일 파티 추천
216,볼빨간막걸리10,탁주 쌀 찹쌀 홈술  저도수 
217,볼빨간막걸리7,탁주 쌀 찹쌀 홈술  저도수 
218,봉하쌀생막걸리,탁주 쌀  저도수 
219,부안참뽕막걸리,탁주 쌀 오디  저도수 
220,부안참뽕와인,탄닌감 과실주 오디 선물 추천 저도수 추천
221,부자10,담백 탁주 쌀 무감미료 커플 파티 친구 저도수 커플 파티 친구
222,불소곡주,향기 기타주류 쌀 찹쌀 생강 고문헌  
223,붉은원숭이,담백 탁주 쌀 이색전통주 커플 디저트 친구 안주 선물 추천 가족 저도수 커플 디저트 친구 안주 선물 추천 가족
224,블루베리이야기,과실주 머루 베리  저도수 
225,산내울복분자주,기타주류 복분자 베리류  
226,산내울사과애주,기타주류 사과 과일류  
227,산내울오미자주,기타주류 오미자 선물  
228,산막대덕주,약주/청주 쌀 밀  저도수 
229,산막생유막걸리,탁주 쌀 탄산  저도수 
230,삼선,탁주 쌀 홈술  저도수 
231,삼양춘생약주,담백 약주/청주 쌀 선물 커플 디저트 친구 선물 추천 크리스마스 저도수 커플 디저트 친구 선물 추천 크리스마스
232,삼양춘생탁주,담백 탁주 쌀 무감미료 반주 추천 안주 저도수 반주 추천 안주
233,삼양춘청주,담백 약주/청주 쌀 선물 커플 디저트 친구 안주 선물 추천 혼술 저도수 커플 디저트 친구 안주 선물 추천 혼술
234,샤토미소랑,과실주 포도 홈술  저도수 
235,샤토미소레드프리미엄드라이,과실주 포도  저도수 
236,샤토미소스위트,목넘김 과실주 포도  저도수 
237,샤토미소스위트로제,목넘김 탄닌감 과실주 포도 파티 커플 명절 선물 추천 가족 저도수 커플 명절 선물 추천 가족
238,샤토미소영동,향기 증류주 포도 과일류  
239,샹스프랑보아즈,과실주 복분자 파티  저도수 
240,서울의밤,향기 기타주류 꿀 홈술 복날 커플 디저트 친구 명절 반주 안주 부모님 선물 파티 추천 가족 혼술 계절 복날 커플 디저트 친구 명절 반주 안주 부모님 선물 파티 추천 가족 혼술 계절
241,서주16,약주/청주 감자 선물  
242,석로주,약주/청주 쌀 버섯 선물  저도수 
243,석탄주약주,약주/청주 쌀 찹쌀 명절  저도수 
244,석탄주탁주,탁주 쌀 찹쌀 고문헌  저도수 
245,선운산복분자와인,과실주 복분자 소용량  저도수 
246,선운산복분자주,과실주 복분자 홈술  
247,선운산복분자주프리미엄,과실주 복분자 진한맛  
248,선운산의아침복분자막걸리,탁주 쌀 복분자  저도수 
249,선호생막걸리,담백 탄산 탁주 쌀 명절 부모님 저도수 명절 부모님
250,설궁,기타주류 꿀 삼 버섯 겨울  
251,설레온,증류주 쌀  
252,설련주,약주/청주 쌀 찹쌀 선물  
253,설성만월막걸리,탁주 쌀  저도수 
254,설하담,탄산 탁주 쌀 홈술 디저트 친구 선물 파티 혼술 행사 저도수 디저트 친구 선물 파티 혼술 행사
255,성포생막걸리,탁주 쌀 친구 캠핑 부모님 선물 추천 파티 가족 저도수 친구 캠핑 부모님 선물 추천 파티 가족
256,세우리,향기 목넘김 증류주 쌀 구기자 삼  
257,세종대왕어주약주,담백 약주/청주 쌀 선물 친구 명절 반주 안주 부모님 선물 파티 가족 저도수 친구 명절 반주 안주 부모님 선물 파티 가족
258,세종대왕어주탁주,담백 탁주 쌀 고문헌 선물 커플 크리스마스 저도수 선물 커플 크리스마스
259,세종쌀막걸리,탁주  저도수 
260,세종알밤주,담백 기타주류 밤 커플 친구 명절 선물 추천 가족 저도수 커플 친구 명절 선물 추천 가족
261,세종오가닉,목넘김 약주/청주 선물  저도수 
262,세종청주생막걸리,탁주 쌀  저도수 
263,소나무와학,향기 증류주 쌀 솔잎  
264,소백산검은콩막걸리,탁주  저도수 
265,소백산생막걸리,탁주 쌀 파티  저도수 
266,소백산생만찬주,탁주 쌀  저도수 
267,소백산오곡진상주,탁주 쌀 보리 밀  저도수 
268,소백산청동동주,약주/청주 쌀  저도수 
269,소양강생막걸리,탁주  저도수 
270,솔송주,목넘김 담백 약주/청주 선물 커플 친구 반주 안주 선물 추천 가족 저도수 커플 친구 반주 안주 선물 추천 가족
271,송명섭막걸리,탁주 쌀 선물  저도수 
272,송이주,약주/청주 쌀 홈술 디저트 친구 안주 부모님 선물 추천 가족 저도수 디저트 친구 안주 부모님 선물 추천 가족
273,송화백일주,목넘김 기타주류 쌀 찹쌀 오미자 구기자 꿀 솔잎 산수유  
274,순향주,약주/청주 쌀 파티  저도수 
275,술공방9,담백 탄산 탁주 쌀 밀 커플 디저트 친구 명절 행사 안주 부모님 기념일 추천 파티 가족 계절 저도수 커플 디저트 친구 명절 행사 안주 부모님 기념일 추천 파티 가족 계절
276,술그리다생탁주,담백 탁주 쌀 안주 부모님 저도수 안주 부모님
277,술샘이화주,탁주 쌀 고문헌 선물 커플 친구 안주 저도수 선물 커플 친구 안주
278,술아국화주,약주/청주 쌀 찹쌀 꽃 홈술 디저트 명절 반주 안주 부모님 선물 추천 가족 계절 저도수 디저트 명절 반주 안주 부모님 선물 추천 가족 계절
279,술아막걸리,탁주 쌀 찹쌀  저도수 
280,술아매화주,약주/청주 쌀 찹쌀 꽃 홈술 선물 커플 디저트 부모님 저도수 선물 커플 디저트 부모님
281,술아순곡주,약주/청주 쌀 찹쌀 홈술 혼술 디저트 혼술 디저트
282,술아연화주,약주/청주 쌀 찹쌀 꽃 홈술 부모님 저도수 부모님
283,술예쁘다생탁주,탁주 쌀 무감미료  저도수 
284,술취한원숭이,담백 탁주 쌀 이색전통주 커플 디저트 친구 캠핑 안주 부모님 선물 추천 크리스마스 가족 계절 저도수 커플 디저트 친구 캠핑 안주 부모님 선물 추천 크리스마스 가족 계절
285,술헤는밤,탁주 쌀  저도수 
286,스타베리오디와인,과실주 포도  저도수 
287,시나브로드글로리아,과실주 포도 홈술  저도수 
288,시나브로레드드라이,과실주 포도  저도수 
289,시나브로레드스위트,과실주 포도 홈술  저도수 
290,시나브로로제와인,과실주 포도 파티  저도수 
291,시나브로에뚜왈로제스파클링와인,탄닌감 탄산 과실주 포도 파티 커플 디저트 친구 안주 선물 파티 추천 저도수 커플 디저트 친구 안주 선물 파티 추천
292,시나브로에뚜왈스파클링,탄산 과실주 포도 과일류 커플 친구 선물 파티 추천 크리스마스 행사 저도수 커플 친구 선물 파티 추천 크리스마스 행사
293,시나브로화이트와인,과실주 포도 선물  저도수 
294,시인의마을우리쌀막걸리,탁주 쌀  저도수 
295,신례명주,증류주 귤 과일류  
296,신선주,약주/청주 쌀 구기자 삼 솔잎 명절  
297,신선주백주,목넘김 탁주 쌀 찹쌀 약재 무감미료  저도수 
298,신선주약주,약주/청주 쌀 찹쌀 약재 선물 가족 부모님 선물 가족 부모님
299,신선주증류주,향기 증류주 쌀 찹쌀 약재  
300,심플리애플,향기 기타주류 쌀 사과 꿀  저도수 
301,아이싱,탁주 쌀 탄산  저도수 
302,아이원막걸리,탁주 쌀 밀  저도수 
303,아황주,약주/청주 쌀 찹쌀 고문헌  
304,안동소주느낌19.8,증류주  
305,안동소주느낌30,향기 목넘김 증류주  
306,안동소주일품17,증류주 쌀 선물 친구 안주 선물 친구 안주
307,안동소주일품21,증류주 쌀 친구 캠핑 명절 부모님 선물 추천 가족 친구 캠핑 명절 부모님 선물 추천 가족
308,안동소주일품골드,증류주 쌀 커플 친구 명절 안주 부모님 선물 파티 커플 친구 명절 안주 부모님 선물 파티
309,안동소주필Feel,향기 목넘김 증류주  
310,안성맞춤생막걸리,탁주 쌀  저도수 
311,안양동동주,탁주 쌀 찹쌀  저도수 
312,애석,약주/청주 쌀 명절  저도수 
313,애피소드상그리아,탄닌감 탄산 과실주 포도 친구 저도수 친구
314,애피소드애플,탄산 과실주 사과 명절 저도수 명절
315,애피소드호프,기타주류 쌀 사과 보리 과일류  저도수 
316,야관문막걸리,탁주 쌀  저도수 
317,양촌생동동주,탁주 무감미료  저도수 
318,양촌생막걸리,탁주  저도수 
319,어우야,목넘김 기타주류 홈술  
320,여강,향기 목넘김 증류주 쌀  
321,여포의꿈레드드라이,탄닌감 과실주 포도 선물 파티 가족 저도수 파티 가족
322,여포의꿈레드스위트,탄닌감 탄산 과실주 포도 선물 친구 저도수 친구
323,여포의꿈화이트,과실주 포도 선물 커플 명절 반주 선물 가족 저도수 커플 명절 반주 선물 가족
324,연천아주,탁주 쌀  저도수 
325,연천연주,약주/청주 쌀  저도수 
326,연천우주,향기 증류주 쌀  
327,영일만친구막걸리,탁주 쌀  저도수 
328,예담은한산소곡주,약주/청주 쌀 찹쌀 명절  
329,예담은한산소곡화주,증류주 쌀 찹쌀 명절  
330,예밀와인레드드라이,과실주 포도  저도수 
331,예밀와인로제,과실주 포도  저도수 
332,예밀와인레드스위트,과실주 포도  저도수 
333,예주,과실주 복분자  저도수 
334,예천주복만월24,향기 증류주 복분자 베리류 선물 명절 친구 선물 명절 친구
335,예천주복만월40,향기 목넘김 증류주 복분자 베리류 친구 명절 안주 기념일 선물 파티 가족 친구 명절 안주 기념일 선물 파티 가족
336,예천주사월24,향기 증류주 오미자 베리류  
337,예천주사월36.5,향기 목넘김 증류주 오미자 베리류  
338,예화,약주/청주 쌀  저도수 
339,옛날막걸리古,탁주 쌀 무감미료  저도수 
340,오디랑,목넘김 과실주 오디 소용량 디저트 명절 안주 선물 추천 저도수 디저트 명절 안주 선물 추천
341,오매백주,담백 탁주 쌀 무감미료 디저트 반주 추천 부모님 저도수 디저트 반주 추천 부모님
342,오메기맑은술,약주/청주 쌀 선물  
343,오메기술,담백 약주/청주 쌀 감초 홈술 커플 친구 안주 부모님 선물 추천 저도수 커플 친구 안주 부모님 선물 추천
344,오매락퍽,향기 기타주류 이색전통주  
345,오목대,기타주류 보리 탄산  저도수 
346,오미로제프리미어와인,탄닌감 과실주 오미자 선물 커플 저도수 커플
347,오미시앙스페셜,과실주 오미자  저도수 
348,오산막걸리,담백 탁주 쌀 무감미료 디저트 친구 반주 부모님 안주 추천 혼술 저도수 디저트 친구 반주 부모님 안주 추천 혼술
349,오희스파클링막걸리,담백 탄산 탁주 오미자 선물 반주 친구 저도수 선물 반주 친구
350,왕율주,향기 목넘김 증류주 쌀 밤 선물 친구 추천 안주 선물 친구 추천 안주
351,왕피천을품은미소생막걸리,탁주 쌀  저도수 
352,우곡생주,탁주 쌀 무감미료 복날 선물 안주 저도수 복날 선물 안주
353,우도땅콩전통주,담백 기타주류 땅콩 디저트 안주 선물 기념일 추천 저도수 디저트 안주 선물 기념일 추천
354,우렁이쌀손막걸리,탁주 쌀  저도수 
355,운암1945,담백 약주/청주 쌀 커플 친구 명절 선물 가족 저도수 커플 친구 명절 선물 가족
356,원매,향기 기타주류 꿀 홈술  저도수 
357,원매프리미엄,향기 기타주류 꿀  
358,원조소곡화주,향기 목넘김 증류주 쌀 찹쌀 소용량  
359,원조한산소곡주,약주/청주 쌀 찹쌀  
360,월매쌀막걸리,탁주 소용량  저도수 
361,유기농이도14,약주/청주 쌀 밀 선물 친구 저도수 친구
362,유기농이도42,증류주 쌀 선물  
363,유자동동주,탁주 쌀  저도수 
364,유자생막걸리,탁주 쌀  저도수 
365,율무동동주,탁주 쌀 드라이  저도수 
366,은자골곶감생탁배기,탁주  저도수 
367,은자골생탁배기,탁주  저도수 
368,이강주19,기타주류 쌀 꿀 생강 계피 커플 친구 명절 선물 추천 가족 커플 친구 명절 선물 추천 가족
369,이강주25,기타주류 쌀 꿀 생강 계피 복날 커플 친구 명절 부모님 안주 선물 추천 파티 가족 행사 복날 커플 친구 명절 부모님 안주 선물 추천 파티 가족 행사
370,이도32,목넘김 증류주 선물 선물
371,이동생쌀막걸리,탁주 탄산  저도수 
372,이동쌀막걸리,탁주  저도수 
373,이상헌약주,약주/청주 쌀 진한맛  
374,이상헌탁주,탁주 쌀  
