제품명,설명
이화백주,청량한 탄산과 달콤새콤한 풍미가 매력적인 탁주
감그린 아이스와인,경북 청도의 씨 없는 감의 특별한 변신
왕율주,공주밤과 공주쌀로 빚은 대한민국 최초 밤 증류주
밤꽃향기,공주밤과 공주쌀로 빚은 맑은 술
강소주,
감그린 스페셜,경북 청도의 씨 없는 감의 특별한 변신
감그린 레귤러,경북 청도의 씨 없는 감의 특별한 변신
진쾌남,공주밤과 공주쌀로 빚은 대한민국 최초 밤 증류주
공주애 오디와인,공주 오디로 빚은 향긋하고 달콤한 과실주
도문대작 생막걸리,강릉 5대 명주 중 하나인 방풍주를 복원하다
계룡산 산삼주 금수강산 40%,전설의 약초 산삼과 계룡산 맑은 물로 빚은 산삼주
한비 무병장수술,아홉 가지 건강 약재가 함유된 기능성 전통주
한비 동충하초술,동충하초와 오가피가 담긴 고급 리큐르
한비 오가피술,10년산 친환경 오가피가 첨가된 리큐르
한비 쌀소주,전통기법으로 빚은 순하고 부드러운 소주
고창선운산 땡큐블루베리주,고창 블루베리로 빚은 명품 블루베리주
송이주,산림욕을 하는듯한 싱그러움과 담백한 맛
화주,화주 한잔에 풍미와 기품을 담다
계룡산 산삼주 금수강산 21%,전설의 약초 산삼과 계룡산 맑은 물로 빚은 산삼주
능이주,본초강목에서 전하는 귀한 능이버섯으로 빚은 약주
고운달 백자,문경 오미자로 빚은 프리미엄 증류주
문경바람 백자 40%,문경 사과로 빚은 풍미 가득한 사과증류주
문경바람 오크,문경 사과로 빚은 풍미 가득한 사과증류주
오미로제 프리미어와인,문경 오미자로 빚은 오미자 스틸와인
문경바람 백자 25%,문경 사과로 빚은 풍미 가득한 사과증류주
원매,국내 유일하게 황매실 100%로 담근 프리미엄 매실주
서울의 밤,
고창선운산 땡큐복분자주,고창 복분자로 빚은 명품 복분자주
고창선운산 복분자주 특1호,고창 복분자로 빚은 명품 복분자주
쿨샷7.5,55알의 햇복분자를 한병에 담다
니모메,청정 제주의 자연을 오롯이 담은 싱그러운 술
월매 쌀막걸리,2017년 대한민국 우리술품평회 우수상 수상
호담 산양산삼 막걸리,2017년 대한민국 우리술품평회 대통령상 수상
제주 고소리술,제주특별자치도 무형문화재 제11호
고도리 화이트와인 드라이,GAP인증 거봉 포도로 만든 신의 물방울
고도리 레드와인 스위트,GAP인증 머루포도로 만든 신의 물방울
세우리,청정 제주의 자연을 오롯이 담은 정성
