,제품명,주종,도수,용량,가격,원재료,제조사
385,장수오미자주,과실주,16.5%,360ml,5400,"오미자(국내산),정제수,주정,설탕,효모",농업회사법인(주)알에프
386,장홍삼장수막걸리_750ml,살균탁주,6%,750ml,2000,"백미,말토올리고당,홍삼분말",서울장수주식회사
387,정고집나주배약주15%,약주,15%,500ml,20000,"쌀,쌀가루(국내산),배착즙액(나주산),정제효소제,종국,젖산,효모",남도탁주
388,정고집나주배약주9%,약주,9%,500ml,18000,"쌀,쌀가루(국내산),배착즙액(나주산),정제효소제,종국,젖산,효모",남도탁주
389,정고집나주쌀생막걸리,탁주,6%,750ml,12000750ml*10병,"쌀,쌀가루(국내산),조제종국,정제효소,젖산,아스파탐,아세셀팜칼",남도탁주
390,정고집옛날생동동주,탁주,6%,"750ml/1,200ml",18000750ml*10병280001200m*10병,"쌀,쌀가루(국내산),조제종국,정제효소,젖산,아스파탐,아세셀팜칼",남도탁주
391,제주고소리술,증류식소주,40%,400ml,45000,"잡곡,누룩,정제수",제주술익는집
392,젤코바스페셜와인,과실주,11.5%,375ml/500ml/750ml,375ml17000500ml25000750ml36000,"국내산산머루,MBA포도",농업회사법인(주)젤코바와이너리
393,젤코바캠벨와인,과실주,13.5%,750ml,62500,"유기농캠벨포도,유기농설탕",농업회사법인(주)젤코바와이너리
394,젤코바프리미엄와인,과실주,12%,500ml/750ml,500ml33000750ml50000,"국내산산머루,MBA포도",농업회사법인(주)젤코바와이너리
395,조선주조사,청주,14%,300ml/700ml,300ml4000700ml9000,"쌀(국내산),입국,누룩,주정,정제수",농업회사법인우포의아침(주)
396,주몽복분자주_375ml,기타주류,16%,375ml,5000,"쌀,복분자",농업회사법인(유)술소리
397,주산지막걸리,탁주,6%,750ml,1200,"쌀(국내산),밀가루,누룩,입국,효모,고과당,물엿,아스파탐,삭카린나트륨,정제수",청송양조장
398,죽력고,일반증류주,32%,700ml,60000,"국내산쌀,죽력,누룩,정제수",태인합동주조
399,죽향생막걸리,탁주,6%,750ml,2000,"쌀(국내산),정제효소,젖산,효모,아스파탐,정제수",농업회사법인(주)죽향도가
400,줄포생막걸리_750ml,탁주,6%,750ml,1200,"쌀(국내산),종국정제수,누룩,효모,아스파탐",내변산(동진주조)
401,지란지교무화과탁주,탁주,12%,500ml,300002병,"찹쌀,멥쌀(국내산),전통누룩(국내산밀),정제수,무화과청,레드비트분말,밀함유",(유)친구들의술지란지교
402,지란지교약주,약주(생약주),17%,375ml/500ml,20000/25000,"찹쌀·멥쌀(국내산),전통누룩(국내산밀),정제수,밀함유",(유)친구들의술지란지교
