,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
381,입장탁주,,2.0,2.0,2.0,2.0,,
382,자두와인레드,,2.0,3.0,2.0,2.0,,
383,자두와인화이트,,2.0,3.0,2.0,4.0,,
384,자연담은복분자막걸리,,2.0,1.0,1.0,5.0,,
385,자연송이주,1.0,1.0,,,1.0,,
386,자희향국화주,,1.0,2.0,1.0,4.0,,
387,자희향나비생탁주,,2.0,1.0,2.0,2.0,,
388,자희향탁주,,2.0,2.0,1.0,3.0,,
389,장수생막걸리,,2.0,3.0,3.0,3.0,,
390,장수오미자주,,3.0,4.0,4.0,3.0,,
391,장홍삼장수막걸리,,1.0,4.0,3.0,5.0,,
392,전주술로시티경기전,,2.0,3.0,4.0,2.0,,
393,전주술로시티오목대,,2.0,3.0,4.0,3.0,,
394,전주술로시티풍남문,,2.0,3.0,4.0,2.0,,
395,정고집나주배약주15%,,4.0,2.0,3.0,2.0,,
396,정고집나주배약주9%,,4.0,2.0,3.0,3.0,,
397,정고집나주쌀생막걸리,,3.0,3.0,3.0,3.0,,
398,정고집옛날생동동주,,3.0,3.0,4.0,3.0,,
399,제주고소리술,4.0,,,,3.0,1.0,
400,젤코바스페셜,,2.0,4.0,2.0,3.0,,
401,젤코바캠벨와인,,3.0,4.0,2.0,3.0,,
402,젤코바프리미엄와인,,1.0,4.0,2.0,4.0,,
403,조선주조사,,3.0,3.0,2.0,3.0,,
404,조은술세종바나나,,3.0,1.0,3.0,4.0,,
405,주몽복분자주,,3.0,1.0,1.0,3.0,,
406,주산지막걸리,,2.0,1.0,2.0,2.0,,
407,주시락톡쏘는복분자막걸리,,5.0,1.0,3.0,5.0,,
408,죽력고,4.0,,,,3.0,2.0,
409,죽향생막걸리,,1.0,2.0,4.0,1.0,,
410,지란지교무화과탁주,,4.0,4.0,1.0,4.0,,4.0
411,지란지교약주,,4.0,4.0,,4.0,,4.0
412,지란지교탁주,,4.0,4.0,1.0,4.0,,4.0
413,지리산정담생막걸리,,1.0,3.0,2.0,1.0,,
414,지리산허브잎술,,1.0,2.0,2.0,1.0,,
415,지장수생막걸리,,3.0,2.0,3.0,3.0,,
416,지장수호박막걸리,,2.0,1.0,1.0,2.0,,
417,지장수호박생막걸리,,3.0,1.0,2.0,2.0,,
418,지평생막걸리쌀막걸리,,4.0,1.0,4.0,2.0,,
419,지평생막걸리쌀막걸리,,4.0,1.0,4.0,2.0,,
420,지평생막걸리옛막걸리,,4.0,1.0,2.0,2.0,,
421,진도홍주루비콘,3.0,3.0,,,3.0,,
422,진맥소주22%,3.0,,,,2.0,2.0,
423,진맥소주40%,4.0,,,,2.0,3.0,
424,진맥소주53%,4.0,,,,3.0,4.0,
425,진심홍삼인삼주19%,,1.0,0.0,0.0,3.0,,
426,진심홍삼인삼주38%,,1.0,0.0,0.0,2.0,,
427,진심홍삼주19,,3.0,1.0,1.0,2.0,,
428,진쾌남,3.0,,,,3.0,4.0,
429,찰막걸리,,2.0,2.0,3.0,2.0,,
430,창원생탁주,,3.0,3.0,3.0,3.0,,
